Make,Model,Year,Price,Engine Type
Fiat,Tipo,2013,53000,Electric
Fiat,Tipo,2020,49000,Electric
Audi,Q5,2022,39000,Thermal
Vauxhall,Astra,2011,36000,Thermal
Jaguar,XF,2013,23000,Thermal
Nissan,Murano,2022,38000,Thermal
Toyota,Camry,2016,26000,Thermal
Subaru,Impreza,2012,46000,Electric
Acura,RDX,2015,58000,Electric
Tesla,Model X,2015,54000,Thermal
Subaru,Outback,2017,63000,Electric
Tesla,Model S,2022,53000,Electric
Subaru,Forester,2018,80000,Thermal
Mazda,CX-9,2020,50000,Electric
Renault,Megane,2022,63000,Electric
Volkswagen,Atlas,2011,66000,Thermal
Ford,Explorer,2013,57000,Thermal
Volkswagen,Golf,2022,30000,Electric
Hyundai,Santa Fe,2011,36000,Electric
Acura,TLX,2013,49000,Thermal
Audi,e-tron,2022,73000,Electric
BMW,X3,2012,38000,Electric
Honda,Civic,2017,30000,Electric
Volvo,S90,2018,28000,Electric
Porsche,911,2020,40000,Electric
BMW,3 Series,2018,79000,Thermal
BMW,5 Series,2016,54000,Thermal
Ford,F-150,2013,72000,Electric
Jaguar,F-PACE,2013,68000,Electric
Mazda,CX-5,2011,66000,Thermal
Buick,Envision,2013,39000,Electric
Mercedes-Benz,S-Class,2016,58000,Electric
Vauxhall,Astra,2019,80000,Electric
Lexus,ES,2014,68000,Electric
Honda,Fit,2013,79000,Electric
Renault,Megane,2018,41000,Electric
Hyundai,Elantra,2017,50000,Electric
Kia,Optima,2019,24000,Thermal
Renault,Clio,2011,38000,Electric
Volvo,XC90,2010,80000,Thermal
Lexus,RX,2010,40000,Thermal
Kia,Soul,2020,71000,Electric
Subaru,Forester,2016,58000,Electric
Mazda,CX-5,2021,33000,Thermal
Subaru,Outback,2020,59000,Thermal
Jaguar,F-PACE,2022,56000,Thermal
Subaru,Ascent,2019,53000,Electric
Fiat,124 Spider,2010,45000,Electric
Kia,Sportage,2014,49000,Electric
Peugeot,508,2012,49000,Thermal
Tesla,Model X,2011,39000,Thermal
BMW,X3,2014,36000,Electric
Kia,Sportage,2011,42000,Electric
Volkswagen,Atlas,2019,60000,Electric
Volvo,S90,2017,39000,Thermal
Mercedes-Benz,E-Class,2016,42000,Electric
Ford,Explorer,2018,62000,Electric
Buick,Regal,2012,26000,Thermal
Nissan,Altima,2018,76000,Thermal
Mazda,Mazda3,2012,61000,Electric
Jaguar,F-PACE,2020,29000,Electric
Jaguar,F-PACE,2021,37000,Thermal
